Launch Site,Latitude,Longitude,Country,Launches
Baikonur Cosmodrome,45.9200,63.3420,Kazakhstan,432.00
Cape Canaveral,28.3922,-80.6077,USA,4113.00
Guiana ,5.2390,-52.7680,French Guiana,366.00
Jiuquan,40.9606,100.2983,China,212.00
Plesetsk,62.9256,40.5778,Russia,141.00
Mahia,-39.2615,177.8643,New Zealand,98.00
Satish Dhawan,13.7199,80.2304,India,277.00
Taiyuan,28.2460,102.0266,China,207.00
Tanegashima ,30.3758,130.9603,Japan,40.00
Vandenberg,34.7420,-120.5724,USA,935.00
Vostochny Cosmodrome,62.9256,40.5778,Russia,268.00
Xichang,28.2460,102.0266,China,187.00
